FSC,DSEC,PTE,IVP,RBU,EMC_Final,label,model
0.32392158267587956,1.0,0.6399233,0.04776270946012617,1.0,0.13008430137217497,0.0,llama-3.1-8b-instant
0.3399466697631887,1.0,0.65792996,0.053031013583655195,1.0,0.13638810342251473,0.0,qwen/qwen3-32b
0.29700051769482655,1.0,0.711427,0.052467838088818185,1.0,0.13055115413756874,0.0,meta-llama/llama-4-scout-17b-16e-instruct
0.34514403652900455,1.0,0.64116,0.05273642428070296,1.0,0.1403284888415535,0.0,llama-3.1-8b-instant
0.3255244248280316,1.0,0.6455759,0.048819142272808626,1.0,0.12904583502336497,0.0,qwen/qwen3-32b
0.3791180523154605,1.0,0.73104405,0.07568583354598682,1.0,0.1756007821132199,0.0,meta-llama/llama-4-scout-17b-16e-instruct
0.46816769431732846,1.0,0.65913475,0.08693259778434972,1.0,0.21632688836881414,0.0,llama-3.1-8b-instant
0.40068585859320777,1.0,0.6859883,0.07294726049228165,1.0,0.18483015624522114,0.0,qwen/qwen3-32b
0.3875354348633847,1.0,0.74395645,0.08384964869706117,1.0,0.20099344188476978,0.0,meta-llama/llama-4-scout-17b-16e-instruct
0.36389252903993263,1.0,0.6501202,0.05779677723357801,1.0,0.15126079584074115,0.0,llama-3.1-8b-instant
0.3216565908587749,1.0,0.6467356,0.049128994425376896,1.0,0.13262667752606452,0.0,qwen/qwen3-32b
0.3200497891419535,1.0,0.7200438,0.06088626996955954,1.0,0.1458890840909813,0.0,meta-llama/llama-4-scout-17b-16e-instruct
0.4552725501869586,1.0,0.7015803,0.09390899136406256,1.0,0.22241295479447126,0.0,llama-3.1-8b-instant
0.3391901652602099,0.99999994,0.64341235,0.05467664921410616,1.0,0.14939700913321263,0.0,qwen/qwen3-32b
0.3753000368734189,1.0,0.7146535,0.0727533066551923,1.0,0.1723063207895848,0.0,meta-llama/llama-4-scout-17b-16e-instruct
0.33117919507883375,1.0,0.7003609,0.06027540750536349,1.0,0.1530022394878663,0.0,llama-3.1-8b-instant
0.35000309529077667,1.0,0.6185007,0.04990386652722581,1.0,0.13781256854058674,0.0,qwen/qwen3-32b
