label,score,model
1.0,0.2910580086143894,qwen/qwen3-32b
1.0,0.5715329450142796,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.5234149368795722,llama-3.1-8b-instant
1.0,0.35001107452639907,qwen/qwen3-32b
1.0,0.957760716067535,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.8450009421933783,llama-3.1-8b-instant
1.0,0.5498141422849788,qwen/qwen3-32b
1.0,0.9094532835282402,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.5260822151324237,llama-3.1-8b-instant
1.0,0.315554060360526,qwen/qwen3-32b
1.0,0.8446176935558793,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.3520654765267907,llama-3.1-8b-instant
1.0,0.5921710540300923,qwen/qwen3-32b
1.0,0.6981497377164059,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.9326138397069224,llama-3.1-8b-instant
1.0,0.20871986205428117,qwen/qwen3-32b
1.0,0.9999999999950926,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.7104554630316318,llama-3.1-8b-instant
1.0,0.30517787884842706,qwen/qwen3-32b
1.0,0.7733678932161858,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.3539941853380525,llama-3.1-8b-instant
1.0,0.26604279336421643,qwen/qwen3-32b
1.0,0.8238867892889212,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.9999999515822101,llama-3.1-8b-instant
1.0,0.41353810838785343,qwen/qwen3-32b
1.0,0.9996140439724784,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.8572957806446598,llama-3.1-8b-instant
1.0,0.7044214418605735,qwen/qwen3-32b
1.0,0.9777786607647593,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.8163846842459324,llama-3.1-8b-instant
1.0,0.2681689636827262,qwen/qwen3-32b
1.0,0.999609678333272,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.6958511153812191,llama-3.1-8b-instant
1.0,0.4064456352256364,qwen/qwen3-32b
1.0,0.5227864661494651,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.7272485980379317,llama-3.1-8b-instant
1.0,0.5012138004020769,qwen/qwen3-32b
1.0,0.9906022753075393,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.22756729327694425,llama-3.1-8b-instant
1.0,0.4045055992638565,qwen/qwen3-32b
1.0,0.43220701678178497,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.18410417197793053,llama-3.1-8b-instant
1.0,0.380437492620253,qwen/qwen3-32b
1.0,0.4148719729449791,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.3840917479445555,llama-3.1-8b-instant
1.0,0.4367874082889594,qwen/qwen3-32b
1.0,0.8201377197014247,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.5831553123599142,llama-3.1-8b-instant
1.0,0.32917124597236413,qwen/qwen3-32b
1.0,0.9863176575384596,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.9506494707055023,llama-3.1-8b-instant
1.0,0.3503075794340639,qwen/qwen3-32b
1.0,0.8512097699672698,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.6722920643600011,llama-3.1-8b-instant
1.0,0.7842773888329467,qwen/qwen3-32b
1.0,0.9883177674353648,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.5205392382512926,llama-3.1-8b-instant
1.0,0.6195762319623537,qwen/qwen3-32b
1.0,0.5849335247328212,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.8024770815441764,llama-3.1-8b-instant
1.0,0.38008526790045943,qwen/qwen3-32b
1.0,0.5807845937320221,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.99378624984683,llama-3.1-8b-instant
1.0,0.23916124070314032,qwen/qwen3-32b
1.0,0.9733532826134438,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.7635756987450644,llama-3.1-8b-instant
1.0,0.441306733818872,qwen/qwen3-32b
1.0,0.8456910854614996,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.7252110740837066,llama-3.1-8b-instant
1.0,0.6686184410460723,qwen/qwen3-32b
1.0,0.7604795203658042,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.2609434648306869,llama-3.1-8b-instant
1.0,0.2731196691755611,qwen/qwen3-32b
1.0,0.8416415916571997,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.6283332336962028,llama-3.1-8b-instant
1.0,0.3732920829233312,qwen/qwen3-32b
